,name,genre_name,number_of_episodes,popularity,vote_average,vote_count,overview,creator_names,poster_path
10,What's Happening Now!!,Comedy,66,4.226,6.286,7,"What's Happening Now!! is an American sequel series of What's Happening!! It ran in syndication from 1985 to 1988. Like the previous series, What's Happening Now!! is loosely based on the motion picture Cooley High.",['Eric Monte'],/3jAdacJlx81TNdN26eucSaGBcCr.jpg
11,Dora the Explorer,"Action & Adventure, Animation, Family, Kids",192,61.563,5.927,248,A young girl named Dora goes on adventures with her red boot-wearing monkey named Boots.,"['Valerie Walsh', 'Eric Weiner', 'Chris Gifford']",/wuZAi6JPdlX68s1p7iztmt0p13C.jpg
12,The Famous Jett Jackson,Drama,65,3.941,7.6,7,A boy named Jett Jackson plays a teenage secret-agent on a fictional TV show-within-a-show called Silverstone.,,/cfJNNsQXxbe6JvEQ6daGv8Y0r6K.jpg
13,Match Game,,1438,5.26,7.6,17,"The five-day-a-week syndicated successor to the popular CBS game show, where two contestants compete to match fill-in-the-blank phrases with those of the celebrities.",,/yO1yfYyHemDZAJyLNLz3tCiaNC8.jpg
14,All in Good Faith,Comedy,18,5.857,1.808,65,"British sitcom in which Reverend Philip Lambe, after becoming bored in his wealthy Oxfordshire parish, asks for a transfer to a more difficult assignment. Sent to Edendale, a fictional urban town in the Midlands, he is accompanied by his wife Emma, sixteen-year-old daughter Miranda and twelve-year-old son Peter.",,/h9qveCyL3m6tNOrdhUabZk7khKt.jpg
15,Planet of the Apes,"Sci-Fi & Fantasy, Action & Adventure, Drama",14,12.934,6.862,65,"Two astronauts and a sympathetic chimp friend are fugitives in a future Earth dominated by a civilization of humanoid apes. 

Based on the 1968 Planet of the Apes film and its sequels, which were inspired by the novel of the same name by Pierre Boulle.",['Anthony Wilson'],/zxo5Vrd0oXgm9ZCz4r7Q3L8veWg.jpg
16,What I Like About You,Comedy,86,12.103,6.245,49,"Valerie Tyler is a 28-year-old organization freak who loves her 16-year-old sister Holly. Even if Holly is rambunctious. Spontaneous. Impulsive. Disconcerting. And definitely disorganized. Then Holly moves in with Val, and the sisters discover they may make better siblings than roomies.","['Dan Schneider', 'Wil Calhoun']",/zSBXCHUwMR3uCCeheTCeb6lzpEI.jpg
17,Keeping Up Appearances,Comedy,40,22.578,7.466,119,"Hyacinth Bucket (whose name, she insists, is pronounced ""Bouquet"") is a suburban housewife in the West Midlands. She would be the first to tell you that she is a gracious hostess, a respected citizen, and a well-connected member of high society. If you don't believe that, just ask her best friend Elizabeth, held captive in Hyacinth's kitchen; or the postmen and neighbours who bristle at the sound of her voice; or Richard, her weary and compliant husband.

In fact, Hyacinth's reputation could be as perfect as her new lounge set, if not for her senile father's love of running wild in the nip. Oh, and she would prefer it if her brother-in-law was a sharper dresser. And that her husband was more ambitious. And that her sisters were more presentable. And do take your shoes off before you come in the house, dear. Mind that you don't brush against the wallpaper.",['Roy Clarke'],/s1efxAPGvVlvWuHOgNXW2rRXEcG.jpg
18,Seven of One,Comedy,7,3.055,6.8,5,"Seven of One was a British comedy series that aired on BBC2 in 1973. Starring Ronnie Barker, 7 of One is a series of seven separate comedies that would serve as possible pilots for sitcoms. Originally it was to be called Six of One, which Barker planned to follow up with another series called Half Dozen of the Other. This was a BBC version of a similar showcase for LWT called Six Dates with Barker created in 1971.",['Ronnie Barker'],/sR04NtfHPfzCXlBXHDLgPjdlxTz.jpg
19,Newlyweds: Nick and Jessica,Reality,41,2.949,6.7,10,"Newlyweds follows the always interesting, and sometimes funny, newly married Nick Lachey and Jessica Simpson. Don't miss the parties, the performing, the love, and of course, the 'Jessica Moments' as Nick and Jess put their celebrity marriage on display in Newlyweds: Nick and Jessica.",,/gXLtrw4TizEl1S7Dx6MvaXINDEl.jpg
20,Brass Eye,Comedy,6,7.25,7.611,72,"Brass Eye is a UK television series of satirical news magazines. A series of six episodes aired on Channel 4 in 1997, and a further episode in 2001.

The series was created by Chris Morris, and written by Morris, David Quantick, Peter Baynham, Jane Bussmann, Arthur Mathews and Graham Linehan. The series was directed by Michael Cumming. It was a sequel to Morris's earlier spoof news programmes On the Hour and The Day Today. It satirised media portrayal of social ills, in particular sensationalism and creation of moral panics. The series starred Morris's The Day Today colleague Doon MacKichan and Gina McKee, Mark Heap, Simon Pegg, Julia Davis and Kevin Eldon.",['Chris Morris'],/1aC9QRe4yiZUw0qyrJfra1I30sc.jpg
21,Fievel's American Tails,"Western, Animation, Family",13,4.864,6.857,7,"Fievel's American Tails is an American/Canadian animated television series, produced by Steven Spielberg's Amblimation animation studio, Nelvana, and Universal Cartoon Studios. It aired for one season in 1992, and continued Fievel's adventures from the film An American Tail: Fievel Goes West.

In 1993 and 1994, MCA/Universal Home Video released twelve episodes on six VHS video-cassettes, two Laserdisc volumes. These have been the only home video releases of the cartoon, at least in the United States. In the United Kingdom, 12 episodes were released on six video-cassettes in 1995, but were in a different episode order to the United States and Vol.4 features the only episode that hasn't been released in the United States. Episodes have been released on DVD in France, Germany, and Italy. Universal currently has no plans to release the show on DVD in the United States, as of November 19, 2009.

In Russia, the cartoon, dubbed in Russian but retaining the original English titles and names, was broadcast on First Channel Russian Television in summer 1996 with Woody Woodpecker. Repeat airings were broadcast in Spring 2002 and Winter 2005. In Japan, the cartoon was dubbed into Japanese and aired on TBS from January 7, 1995 until March 25 of the same year, showing all the episodes weekly.",['David Kirschner'],/msWEkhcsqi0gfrIIpOonKumOkkT.jpg
22,Two Guys and a Girl,Comedy,81,13.68,7.242,126,"This story revolves around the lives of three teenagers, Berg, Pete and Sharon and how their lives are entwined. It further deals with the bonds they share with each other.",['Danny Jacobson'],/ulm7wLxyxDNO8kEe12oTM5efWfb.jpg
23,Postcards from Buster,Animation,52,7.657,8.231,80,"Postcards from Buster is a children's television series for children aged 6–12, containing both animation and live-action that originally aired on Public Broadcasting Service. It is a spin-off of the Arthur cartoon series. The show stars Arthur's best friend, 8-year-old rabbit Buster Baxter. Inspired by a 2003 episode of Arthur entitled ""Postcards from Buster"", the television series was produced by Cinar and Marc Brown Studios.

It first aired October 11, 2004, on PBS Kids Go!. Buster's interests include eating anything, reading comic books, and playing video games. Buster's personality is that of a fairly intelligent and curious child. He also believes that extraterrestrials are real. Buster's parents are divorced; in this series, Buster is seen with his father, Bo Baxter.

Arthur Read and many other characters from the PBS Kids Go! animated television series Arthur make cameo appearances in this series, and most episodes have an Arthur character playing a minor role. The series went through a hiatus between November 2008 and February 2012.",['Marc Brown'],/7GZ3nM8Mod24ego7IdIi9hqSSsN.jpg
24,The Drew Carey Show,Comedy,233,19.311,6.599,117,"Drew is an assistant director of personnel in a Cleveland department store and he has been stuck there for ten years. Other than fighting with co-worker Mimi, his hobbies include drinking beer and not being able to get dates. To make a few extra bucks he has a micro-brewery going in his garage with his buddies.","['Drew Carey', 'Bruce Helford']",/nkg8zTDmHKau54dJechoLdzgTsh.jpg
25,St. Elsewhere,Drama,137,20.546,5.428,69,"St. Elsewhere is an American medical drama television series that originally ran on NBC from October 26, 1982 to May 25, 1988. The series starred Ed Flanders, Norman Lloyd and William Daniels as teaching doctors at a lightly-regarded Boston hospital who gave interns a promising future in making critical medical and life decisions.","['Joshua Brand', 'John Masius', 'John Falsey', 'Mark Tinker']",/mEfcA56iisaOfnK8FsY1sSE2wLu.jpg
26,Top Gear,"Documentary, Talk, Comedy",218,56.988,7.382,615,"This fast-paced and stunt-filled motor show tests whether cars, both mundane and extraordinary, live up to their manufacturers' claims. The long-running show travels to locations around the world, performing extreme stunts and challenges to see what the featured cars are capable of doing. The current hosts are Paddy Mcguinness, Chris Harris and Andrew ""Freddie"" Flintoff.",['Derek Smith'],/aqM6QnuhSXzjHlKbXyKUqxaGiWu.jpg
27,Hardball with Chris Matthews,News,35,3.493,5.8,43,"Hardball with Chris Matthews is an American television talk show on MSNBC, broadcast weekdays at 7 PM ET hosted by Chris Matthews. It originally aired on now-defunct America's Talking and later CNBC. The current title was derived from a book Matthews wrote in 1988, Hardball: How Politics Is Played Told by One Who Knows the Game. Hardball is a talking-head style cable news show where the moderator advances opinions on a wide range of topics, focusing primarily on current political issues. These issues are discussed with a panel of guests that usually consists of political analysts and sometimes include politicians.

It also runs in a ""Best of"" format Saturday mornings at 5 AM.",,/kEoxG0jgaMd5gDWxzfIgK3lmWE9.jpg
28,The Challenge,Reality,585,27.146,7.5,53,"Each Challenge pits numerous cast members from past seasons of reality shows against each other, dividing them into two separate teams according to different criteria, such as gender, which show they first appeared on, whether or not they're veterans or rookies on the show, etc. The two teams compete in numerous missions in order to win prizes and advance in the overall game.","['Jonathan Murray', 'Mary-Ellis Bunim']",/vNmojUWLoxk94hIdAFq79NOxaEL.jpg
29,Only Fools and Horses,Comedy,45,17.432,7.945,219,The misadventures of two wheeler dealer brothers Del Boy and Rodney Trotter of 'Trotters Independent Traders PLC' who scrape their living by selling dodgy goods believing that next year they will be millionaires.,['John Sullivan'],/8QznQBwr4aqPIQTiymL7obM3qOK.jpg
30,The Secret Life of Us,Drama,86,8.276,5.0,5,The Secret Life of Us is an Australian television drama series about the lives of 20-30 somethings living in the early 2000s.,['John Edwards'],/3hQ2okjIuBxeQru8w6nnXav0tTz.jpg
31,As Time Goes By,Comedy,67,11.461,7.6,34,Two lovers are reunited after decades apart following a mutual misunderstanding.,['Colin Bostock-Smith'],/hgpSfLu6uzGRB4SLz6Jtai5T3Xq.jpg
32,Buffy the Vampire Slayer,"Sci-Fi & Fantasy, Comedy, Drama, Action & Adventure",144,73.459,8.191,1441,"Into every generation a slayer is born: one girl in all the world, a chosen one. She alone will wield the strength and skill to fight the vampires, demons, and the forces of darkness; to stop the spread of their evil and the swell of their number. She is the Slayer.",['Joss Whedon'],/y7fVZkyheCEQHDUEHwNmYENGfT2.jpg
33,The Time Tunnel,"Action & Adventure, Sci-Fi & Fantasy",30,24.662,7.66,156,"The Time Tunnel is a 1966–1967 U.S. color science fiction TV series, written around a theme of time travel adventure. The show was creator-producer Irwin Allen's third science fiction television series, released by 20th Century Fox and broadcast on ABC. The show ran for one season of 30 episodes. Reruns are viewable on cable and by internet streaming. A pilot for a new series was produced in 2002, although it was not picked up.",['Irwin Allen'],/6E3Ncd9iLWqi8m1GcdkU5bSwOnS.jpg
34,Blue Water High,"Drama, Comedy",78,5.893,7.9,12,"Blue Water High is an Australian television drama series, broadcast by the Australian Broadcasting Corporation on ABC1 and on Austar/Foxtel Nickelodeon channel in Australia and on various channels in many other countries. Each season follows the lives of a young group of students at Solar Blue, a high-performance surf academy where several lucky 16-year-olds are selected for a 12-month-long surfing program on Sydney's northern beaches.

There are three series in Blue Water High. The first two series were screened in 2005 and 2006 and the producers did not intend to create a third series. However, due to popular demand by fans, they relented and made one more series with only Kate Bell returning in a main role. Series three ended with the closure of Solar Blue, indicating that the show would most likely not continue.","['Kristen Dunphy', 'Chris Hawkshaw']",/zDsSVyVT0vRNgkaGhkym273UMqS.jpg
35,The Armando Iannucci Shows,Comedy,8,2.158,8.2,9,"The Armando Iannucci Shows is a series of eight programmes focused on specific themes relating to human nature and existentialism, around which Iannucci would weave a series of surreal sketches and monologues. Recurring themes in the episodes are the superficiality of modern culture, our problems communicating with each other, the mundane nature of working life and feelings of personal inadequacy and social awkwardness. Several characters also make repeat appearances in the shows, including the East End thug, who solves every problem with threats of violence; Hugh, an old man who delivers surreal monologues about what things were like in the old days; and Iannucci's barber, who is full of nonsensical anecdotes.",['Armando Iannucci'],/iqfwzbFu9lXdLtYolHg5L9qh4Q8.jpg
36,A Different World,Comedy,144,15.499,6.711,45,"A Different World is an American television sitcom which aired for six seasons on NBC. It is a spin-off series from The Cosby Show and originally centered on Denise Huxtable and the life of students at Hillman College, a fictional mixed but historically black college in the state of Virginia. After Bonet's departure in the first season, the remainder of the series primarily focused more on Southern belle Whitley Gilbert and mathematics whiz Dwayne Wayne. The series frequently depicted members of the major historically black fraternities and sororities.

While it was a spin-off from The Cosby Show, A Different World would typically address issues that were avoided by The Cosby Show writers. One episode that aired in 1990 was one of the first American network television episodes to address the HIV/AIDS epidemic.",['Bill Cosby'],/v7fuifcJjcqQxAsOjPviupcmFIZ.jpg
37,Boston Public,Drama,81,17.804,7.897,34,"Principal Steven Harper runs Winslow High School as best as he can while dealing with the demands of the faculty, the students and their parents.",['David E. Kelley'],/yUEMfetlqwab7mOzrZIoAOGwfKi.jpg
38,Thriller,Drama,44,4.936,6.4,8,"Thriller is a British television series, originally broadcast in the UK from 1973 to 1976. It is an anthology series: each episode has a self-contained story and its own cast. As the title suggests, each story is a thriller of some variety, from tales of the supernatural to down-to-earth whodunits.",['Brian Clemens'],/AbBlSO2ifQ92DQUjzbP6gtwOyNa.jpg
39,A Bit of Fry & Laurie,Comedy,25,7.856,7.874,91,"A British comedy television series with turns of phrase and elaborate wordplay, written by and starring former Cambridge Footlights members Stephen Fry and Hugh Laurie.","['Stephen Fry', 'Hugh Laurie']",/x2BeuxXkbOoiUCyECb0AdUHxw0y.jpg
40,The Andy Griffith Show,Comedy,249,45.994,7.748,113,"The Andy Griffith Show is an American sitcom first televised on CBS between October 3, 1960 and April 1, 1968. Andy Griffith portrays the widowed sheriff of the fictional small community of Mayberry, North Carolina. His life is complicated by an inept, but well-meaning deputy, Barney Fife, a spinster aunt and housekeeper, Aunt Bee, and a precocious young son, Opie. Local ne'er-do-wells, bumbling pals, and temperamental girlfriends further complicate his life. Andy Griffith stated in a Today Show interview, with respect to the time period of the show: ""Well, though we never said it, and though it was shot in the '60s, it had a feeling of the '30s. It was when we were doing it, of a time gone by.""

The series never placed lower than seventh in the Nielsen ratings and ended its final season at number one. It has been ranked by TV Guide as the 9th-best show in American television history. Though neither Griffith nor the show won awards during its eight-season run, series co-stars Knotts and Bavier accumulated a combined total of six Emmy Awards. The show, a semi-spin-off from an episode of The Danny Thomas Show titled ""Danny Meets Andy Griffith"", spawned its own spin-off series, Gomer Pyle, U.S.M.C., a sequel series, Mayberry R.F.D., and a reunion telemovie, Return to Mayberry. The show's enduring popularity has generated a good deal of show-related merchandise. Reruns currently air on TV Land, and the complete series is available on DVD. All eight seasons are also now available by streaming video services such as Netflix.","['Sheldon Leonard', 'Danny Thomas']",/rGd7qBylf9NVdrXGVItt3hvmP8O.jpg
41,Nathan Barley,Comedy,6,5.224,7.2,32,"Nathan Barley is a Channel 4 sitcom written by Charlie Brooker and Chris Morris, starring Nicholas Burns, Julian Barratt, Charlie Condou and Claire Keelan. The series of six weekly episodes began broadcasting on 11 February 2005 on Channel 4. Described by his creator as a ""meaningless strutting cadaver-in-waiting"", the character originated on Brooker's TVGoHome – a website parodying television listings – as the focus of a fly-on-the-wall documentary called Cunt.","['Chris Morris', 'Charlie Brooker']",/jAd2zeYyWv89L6VRMAtPsssAZ7r.jpg
42,The Dreamstone,"Family, Animation",52,3.945,8.8,8,"The Dreamstone is a British animated television series that ran for 4 series of 13 episodes each between 1990 and 1995. The original concept and artwork were created by Michael Jupp who would later create another cartoon show Bimble's Bucket. The series was produced by FilmFair as a Central production for ITV. In 1996 Filmfair was bought from the Caspian Group by the Canadian company Cinar, then it became Cookie Jar Entertainment, but then it became part of DHX Media. This resulted in DHX's ownership of the first two series, while a company called Dreamstone Productions Ltd. retain the ownership of the third and fourth series.

The Dreamstone is set in an alternative world called the 'Sleeping World,' and concerns itself principally with the struggle between good, and evil.",['Michael Jupp'],/2o9nx2ZT3DiJWCvf6vNm3Vv1AzN.jpg
43,Cory in the House,"Comedy, Kids",34,13.541,7.0,69,"It's a brand new life for Cory Baxter when his dad, Victor, becomes the personal chef to the President of the United States. Cory's entrepreneurial scheming reaches new heights as he mingles amongst high-powered Washington D.C. elite.","['Dennis Rinsler', 'Marc Warren']",/kf7aiSIFDP1tkxsqckgWxIyuumw.jpg
44,Doctor Who,"Action & Adventure, Drama, Sci-Fi & Fantasy",694,134.594,7.9,489,"The adventures of a Time Lord—a time-travelling humanoid alien known as the Doctor—who explores the universe in his TARDIS, a sentient time-travelling space ship. Its exterior appears as a blue British police box, which was a common sight in Britain in 1963 when the series first aired. Along with a succession of companions, the Doctor faces a variety of foes while working to save civilisations, help ordinary people, and right wrongs.","['Sydney Newman', 'Verity Lambert', 'Donald Wilson', 'C. E. Webber']",/xinqAmYrZ1TEwowcQhgTkZVtVE0.jpg
45,All Grown Up!,"Animation, Comedy, Drama",52,14.439,7.8,177,"All Grown Up! is an animated television series created by Arlene Klasky and Gábor Csupó for Nickelodeon. After the success of All Growed Up, the Rugrats 10th anniversary special, Nickelodeon commissioned All Grown Up! as a spin-off series based on the episode. The series ran from April 12, 2003 to August 17, 2008, and currently airs in reruns on Nickelodeon and Nicktoons. The show aired in reruns on The N from August 18, 2003 until November 12, 2005, it was dropped from the channel on February 2006, but then returned in April 2007 until June 25, 2009, then on July 7, 2009, All Grown Up! was dropped from The N again. The show's premise is that the characters of the Rugrats are ten years older. Tommy, Dil, Chuckie, Phil, Lil, Kimi, Angelica and Susie now have to deal with teen and pre-teen issues and situations.

It was the first Nicktoon spin-off receiving positive review among critics, and developed a cult following after its run.","['Gábor Csupó', 'Paul Germain', 'Arlene Klasky']",/e950CuuRk3MdRytXJ9cE905QrLS.jpg
46,Fantastic Four: World's Greatest Heroes,"Animation, Action & Adventure",26,12.729,7.6,75,"Mister Fantastic, the Invisible Woman, the Human Torch, and Thing battle some of their greatest foes, including Doctor Doom, Ronan the Accuser, the Multiple Man, and Mole Man.","['Craig Kyle', 'Christopher L. Yost']",/zCtCW0JlbMpzfQDAX1bO1o1KLi.jpg
47,This Life,Drama,32,5.432,7.8,18,"Cult drama series about a group of aspiring young lawyers sharing a shabby house in London, charting their careers and personal lives.",['Amy Jenkins'],/f9PiErdWF5IDcvZULIae4oeeb5r.jpg
48,Are You Being Served?,Comedy,69,18.218,7.106,66,Classic comedy set in fading department store Grace Brothers.,"['David Croft', 'Jeremy Lloyd']",/2wM6nMKtZOUxmpZMJqoVmvimQAs.jpg
49,I Am Weasel,"Animation, Comedy, Kids",79,20.539,7.217,166,"The adventures of the noble, generous, intelligent and good-at-everything I.M. Weasel, who must compete once again with his arch-enemy, the bumbling, brainless and utterly talentless I.R. Baboon.",['David Feiss'],/ibSVhfayNItAAoGkI8bHYOHPQdH.jpg
50,The Animals of Farthing Wood,"Family, Animation, Kids",39,8.65,8.366,41,"The Animals of Farthing Wood is an animated series created by the European Broadcasting Union between 1992 and 1995 and based on the series of books written by Colin Dann. It was produced by Telemagination, based in London, and La Fabrique, based in Montpellier in France, but also aired in other European countries. The first countries to air the series were Germany and the United Kingdom, in January 1993.",['Jenny McDade'],/aRKM4v1j46jxtHR3wfbNTUrYg0T.jpg
51,Bless This House,Comedy,66,3.154,7.5,12,"Bless this house is a British sitcom starring Sid James and Diana Coupland that aired on ITV from the 2nd February 1971 to the 22nd April 1976. It was written by Derek Collyer, David Comming, B.C. Cummins, Harry Driver, George Evans, Dave Freeman, Carla Lane, Brian Platt, Vince Powell, Adele Rose, Mike Sharland, Bernie Sharp, Myra Taylor, Jon Watkins and Lawrie Wyman. It was made for the ITV network by Thames Television. In 2004, Bless this house came 67th in Britain's best sitcom.","['Harry Driver', 'Vince Powell']",/4DgrPHUR3JfQ7mDK8UpLRl6gvPv.jpg
52,Sex and the City,Comedy,94,73.377,7.444,1831,"Based on the bestselling book by Candace Bushnell, Sex and the City tells the story of four best friends, all single and in their late thirties, as they pursue their careers and talk about their sex lives, all while trying to survive the New York social scene. ",['Darren Star'],/tzVUZxNwntAS8Gk3WF2DCcI8x1B.jpg
53,Less than Perfect,Comedy,81,11.33,6.938,24,"Claude Casey moved up in the secretarial world of television news, from temp to the anchor's desk. After her boss hires her full time, Claude realizes she may be in over her head in this world of assistants fighting to get ahead. But Claude is determined to prove that though she may not be perfect, she's not going down without a fight.",['Terri Minsky'],/xKKV8RNURtXipLmxa26PfazWuYy.jpg
54,To the Manor Born,Comedy,21,5.455,6.773,22,"Sitcom about the love-hate relationship between upper-class Audrey fforbes Hamilton and Richard DeVere, the nouveau rich businessman who buys her manor house when she can longer afford to keep it",['Peter Spence'],/dkC1esu05b8aHPUwTO7857MHbd0.jpg
55,Unsolved Mysteries,"Mystery, Drama",736,15.631,7.9,120,"Combines four to five segments of dramatic re-enactments, interviews and updates of real human and paranormal mysteries. An audience interactive call-to-action request allowed viewers to call in with tips to help solve the cases.","['John Cosgrove', 'Terry Dunn Meurer']",/1bOXbWqNsRU2ykPiE586I18coLf.jpg
56,W.I.T.C.H.,"Animation, Sci-Fi & Fantasy, Comedy",52,10.781,7.5,61,"The Guardians must save Meridian from the evil sorcerer Phobos and Cedric who are searching for Phobos' sister, the long lost princess of Meridian and true heir to the throne. They later find her and the Guardians then set about saving her from Phobos. When Meridian is freed from evil and true heir takes the throne, a new mysterious sorceress named Nerissa frees Phobos' top henchmen and reforms them as the Knights of Vengeance. Once the Guardians learn more about the sorceress and her evil plan of reuniting former Guardians, they are able to defeat the Knights only to have more powerful Knights, in addition to the former Guardians attack them.","['Elisabetta Gnone', 'Gary Tomlin']",/tBoCZnUrX4xjI3Ge8zd5OCvjlLA.jpg
57,Good Times,Comedy,133,14.499,7.933,60,"Good Times is an American sitcom that originally aired from February 8, 1974, until August 1, 1979, on the CBS television network. It was created by Eric Monte and Mike Evans, and developed by Norman Lear, the series' primary executive producer. Good Times is a spin-off of Maude, which is itself a spin-off of All in the Family along with The Jeffersons.

The series is set in Chicago. The first two seasons were taped at CBS Television City in Hollywood. In the fall of 1975, the show moved to Metromedia Square, where Norman Lear's own production company was housed.","['Eric Monte', 'Mike Evans']",/zZlaGU4RJMhTKFxmQ6RAEYNjM0l.jpg
58,3rd Rock from the Sun,"Family, Sci-Fi & Fantasy, Comedy, Drama",139,33.886,7.48,394,"3rd Rock from the Sun is an American sitcom that aired from 1996 to 2001 on NBC. The show is about four extraterrestrials who are on an expedition to Earth, which they consider to be a very insignificant planet. The extraterrestrials pose as a human family in order to observe the behavior of human beings.","['Bonnie Turner', 'Terry Turner']",/sUB4lZghNnwQywKqgjIfJsyBqI2.jpg
59,Degrassi Junior High,Drama,42,2.853,7.952,21,"Degrassi Junior High is a Canadian CBC Television teen drama series that was produced from 1987-1989 as part of the Degrassi series. The show followed the lives of a group of students attending the titular fictional school. Many episodes tackled difficult topics such as drug use, child abuse, teenage pregnancy, homosexuality, homophobia, racism, and divorce, and the series was acclaimed for its sensitive and realistic portrayal of the challenges of teenage life. The cast comprised mainly non-professional actors, which added to the show's sense of realism.

The series featured many of the same actors who had starred on The Kids of Degrassi Street a few years earlier, including Stacie Mistysyn, Neil Hope, Anais Granofsky, Sarah Charlesworth and others. However, their character names and family situations had been changed, so Degrassi Junior High cannot, therefore, be considered a direct spinoff.

The legal counsel for all the episodes was Stephen Stohn who later became the executive producer of Degrassi: The Next Generation. The series was filmed at the unused Vincent Massey Public School in Etobicoke, Ontario.","['Kit Hood', 'Linda Schuyler']",/5fCPJdwgMdIfeoETslRN6ZR8uxK.jpg
